e (m), e_dot (m/s), e_int, stamp, 
0.20369431344840974, -0.05141804758939281, 0.030052574851710232, 1761311488323356117, 
0.19842623970176, -0.052809348222711334, 0.022681070578084606, 1761311488386957728, 
0.19576537858522083, -0.054968740341834056, 0.019136476424233335, 1761311488419376823, 
0.1906609625299907, -0.05407162687322708, 0.01873760309498825, 1761311488483072221, 
0.183886523838354, -0.050182821857214684, 0.030399347479136515, 1761311488579285617, 
0.17728629385138248, -0.046383781933716874, 0.035359596348487066, 1761311488675301825, 
0.15771998635284817, -0.044368725140276045, 0.06918644230381701, 1761311488979289867, 
0.15197018144150667, -0.04140158071834249, 0.064942432117603, 1761311489075377212, 
0.145697155116358, -0.03855805240132466, 0.03163987144347818, 1761311489187726970, 
0.1415232052431325, -0.036106747118214426, 0.0280899856890039, 1761311489267252831, 
0.13573050057699093, -0.03472928407017053, 0.027007557254610147, 1761311489379292183, 
0.1304770061629791, -0.03546604602789997, 0.028281398329146713, 1761311489475341632, 
0.12450618374598346, -0.03604766361791111, 0.02705871058128625, 1761311489587055908, 
0.11887916804138805, -0.0372774712963122, 0.025932562675744637, 1761311489683433424, 
0.11405799279876756, -0.03622525774214894, 0.022905422401797382, 1761311489779299709, 
0.11001269439561183, -0.03078573471185485, 0.021952273848135508, 1761311489875463893, 
0.10539272592991862, -0.02782438078551917, 0.02281423666803343, 1761311489987039650, 
0.10184951322862423, -0.026067792453470056, 0.021982281638354535, 1761311490083330936, 
