x (m), y (m), theta (rad), stamp, 
1.3709605932235718, 1.8841809034347534, 1.2345518184844113, 1761312178985613499, 
1.373800277709961, 1.891683578491211, 1.2345518184844113, 1761312179082692252, 
1.3764697313308716, 1.9000670909881592, 1.2339392519867936, 1761312179193476991, 
1.378453254699707, 1.9065114259719849, 1.2348594241655066, 1761312179289665540, 
1.3809340000152588, 1.9123162031173706, 1.234233913646425, 1761312179385663788, 
1.382908821105957, 1.9189509153366089, 1.234233913646425, 1761312179481739226, 
1.3851605653762817, 1.9249602556228638, 1.232580625580296, 1761312179576865646, 
1.3878237009048462, 1.9325133562088013, 1.2313295061428673, 1761312179689681906, 
1.3895044326782227, 1.9382548332214355, 1.2306034818366887, 1761312179785601012, 
1.3904091119766235, 1.9409899711608887, 1.2306034818366887, 1761312179833658740, 
1.3937151432037354, 1.950544834136963, 1.2306034818366887, 1761312179993351243, 
1.396074652671814, 1.9562801122665405, 1.23036771958761, 1761312180090652812, 
1.3978508710861206, 1.9619191884994507, 1.23036771958761, 1761312180185606129, 
1.3997658491134644, 1.9670710563659668, 1.2300433465949436, 1761312180281738944, 
1.4016517400741577, 1.973319172859192, 1.231619632396172, 1761312180392894373, 
1.403647780418396, 1.9787867069244385, 1.232077531075096, 1761312180490688073, 
1.405308485031128, 1.983878493309021, 1.2326238268690881, 1761312180585618565, 
1.407301902770996, 1.989074945449829, 1.2326238268690881, 1761312180681764111, 
1.4091222286224365, 1.9947878122329712, 1.2331437305547446, 1761312180792934313, 
1.4109445810317993, 1.9995946884155273, 1.233143730556293, 1761312180889690846, 
1.412246823310852, 2.0042262077331543, 1.2334578144953268, 1761312180985611569, 
1.414063572883606, 2.008862018585205, 1.2333932417055888, 1761312181081719314, 
1.415684700012207, 2.0140528678894043, 1.2333932417055888, 1761312181192976539, 
1.4171979427337646, 2.0183095932006836, 1.2333932417055888, 1761312181289675192, 
1.4187989234924316, 2.022674798965454, 1.2329771698885177, 1761312181385606754, 
1.4202090501785278, 2.027020215988159, 1.2329771698885177, 1761312181481749394, 
1.422131061553955, 2.031909942626953, 1.2324446296383111, 1761312181592881790, 
1.4232970476150513, 2.0359904766082764, 1.231477455290814, 1761312181689660085, 
1.4247331619262695, 2.039806842803955, 1.2309458689359656, 1761312181785622764, 
1.4261289834976196, 2.043909788131714, 1.230530346160901, 1761312181880755414, 
1.4273061752319336, 2.048243522644043, 1.230530346160901, 1761312181992976743, 
1.4288800954818726, 2.0520358085632324, 1.2310559860415675, 1761312182089701798, 
1.430053949356079, 2.0556347370147705, 1.2303384942775613, 1761312182185631158, 
1.4313057661056519, 2.059230089187622, 1.2303384942775613, 1761312182280899996, 
1.4329148530960083, 2.0633904933929443, 1.2294380987143039, 1761312182393674870, 
1.4340306520462036, 2.067046642303467, 1.2290014696800031, 1761312182489686495, 
1.4351786375045776, 2.070512056350708, 1.2290014696800031, 1761312182585628481, 
1.4366320371627808, 2.073780059814453, 1.2275908200870636, 1761312182680774483, 
1.4378454685211182, 2.0774424076080322, 1.2275908200870636, 1761312182792869347, 
1.4387730360031128, 2.0805678367614746, 1.2275908200870636, 1761312182889712691, 
1.4399526119232178, 2.083812713623047, 1.2275908200870636, 1761312182986630635, 
1.440922498703003, 2.086587429046631, 1.2275908200870636, 1761312183080781220, 
1.4420019388198853, 2.090108871459961, 1.2275908200870636, 1761312183193692700, 
1.443212628364563, 2.093059539794922, 1.2275908200870636, 1761312183289698501, 
1.4444692134857178, 2.09610915184021, 1.2275908200870636, 1761312183385805137, 
1.4454107284545898, 2.0990092754364014, 1.2275908200870636, 1761312183480794830, 
1.4465850591659546, 2.1025912761688232, 1.2275908200870636, 1761312183593233202, 
1.4476591348648071, 2.105276107788086, 1.2275908200870636, 1761312183689179632, 
1.4485820531845093, 2.107771396636963, 1.2269925522972436, 1761312183785024001, 
1.4494671821594238, 2.1105246543884277, 1.2265409688485278, 1761312183881800461, 
1.450558066368103, 2.113832712173462, 1.2265409688485278, 1761312183993395822, 
1.4516655206680298, 2.1167304515838623, 1.2267027117069316, 1761312184090075229, 
1.4525853395462036, 2.11938738822937, 1.2267027117069316, 1761312184184956766, 
1.4533467292785645, 2.122215747833252, 1.2267027117069316, 1761312184281346420, 
1.454542636871338, 2.125493288040161, 1.2271213121460183, 1761312184395013478, 
1.4555792808532715, 2.128206968307495, 1.2270542415061194, 1761312184488829537, 
1.4565671682357788, 2.1311745643615723, 1.2270542415061194, 1761312184585701422, 
1.457404613494873, 2.134101629257202, 1.2270542415061194, 1761312184680879867, 
1.4586005210876465, 2.1371519565582275, 1.2270542415061194, 1761312184794370057, 
1.4597795009613037, 2.1400091648101807, 1.2270542415061194, 1761312184889696549, 
1.4607324600219727, 2.143010139465332, 1.2266015466539315, 1761312184985690206, 
1.4617338180541992, 2.145951747894287, 1.2266015466539315, 1761312185080871007, 
1.4629472494125366, 2.1489925384521484, 1.224983426171345, 1761312185194629039, 
1.4639393091201782, 2.1518642902374268, 1.224983426171345, 1761312185289704630, 
1.464768409729004, 2.154837131500244, 1.2240793186949381, 1761312185384802610, 
1.465831995010376, 2.1577250957489014, 1.2240793186949381, 1761312185481740202, 
